street_name,from_junc,to_junc,avg_speed,num_cars,seg_len,spd_limit,congestion
7th Ave,94,93,17,6,0.051136,25,0.0915
7th Ave,95,94,17,6,0.051136,25,0.0915
7th Ave,96,95,19,4,0.051136,25,0.0546
7th Ave,97,96,20,3,0.051136,25,0.0389
7th Ave,98,97,22,1,0.051136,25,0.0118
7th Ave,99,98,22,2,0.051136,25,0.0236
W 23 St,0,20,9,48,0.170455,25,0.415
W 23 St,20,40,11,42,0.170455,25,0.2971
W 23 St,40,60,11,43,0.170455,25,0.3042
W 23 St,60,80,11,42,0.170455,25,0.2971
W 23 St,20,0,12,40,0.170455,25,0.2594
W 23 St,40,20,15,30,0.170455,25,0.1556
W 23 St,60,40,18,20,0.170455,25,0.0865
W 23 St,80,60,24,1,0.170455,25,0.0032
W 24 St,1,21,19,18,0.170455,25,0.0737
W 24 St,21,41,19,17,0.170455,25,0.0696
W 24 St,41,61,21,11,0.170455,25,0.0408
W 24 St,61,81,23,5,0.170455,25,0.0169
W 25 St,22,2,23,5,0.170455,25,0.0169
W 25 St,42,22,22,6,0.170455,25,0.0212
W 25 St,62,42,21,9,0.170455,25,0.0333
W 25 St,82,62,21,9,0.170455,25,0.0333
W 26 St,3,23,12,41,0.170455,25,0.2658
W 26 St,23,43,10,46,0.170455,25,0.3579
W 26 St,43,63,9,49,0.170455,25,0.4236
W 26 St,63,83,7,54,0.170455,25,0.6002
W 27 St,24,4,23,3,0.170455,25,0.0101
W 27 St,84,64,10,46,0.170455,25,0.3579
W 28 St,5,25,17,25,0.170455,25,0.1144
W 28 St,25,45,18,21,0.170455,25,0.0908
W 28 St,45,65,19,18,0.170455,25,0.0737
W 28 St,65,85,17,25,0.170455,25,0.1144
W 29 St,26,6,13,35,0.170455,25,0.2095
W 29 St,46,26,12,38,0.170455,25,0.2464
W 29 St,66,46,11,43,0.170455,25,0.3042
W 29 St,86,66,8,53,0.170455,25,0.5155
W 30 St,7,27,16,26,0.170455,25,0.1264
W 30 St,27,47,15,30,0.170455,25,0.1556
W 30 St,47,67,16,26,0.170455,25,0.1264
W 30 St,67,87,17,25,0.170455,25,0.1144
W 31 St,48,28,12,38,0.170455,25,0.2464
W 31 St,68,48,13,36,0.170455,25,0.2155
W 31 St,88,68,15,28,0.170455,25,0.1452
W 33 St,30,10,17,24,0.170455,25,0.1098
W 33 St,50,30,19,18,0.170455,25,0.0737
W 33 St,70,50,23,5,0.170455,25,0.0169
W 34 St,11,31,14,34,0.170455,25,0.189
W 34 St,31,51,13,37,0.170455,25,0.2215
W 34 St,51,71,10,45,0.170455,25,0.3501
W 34 St,71,91,7,55,0.170455,25,0.6113
W 34 St,31,11,13,37,0.170455,25,0.2215
W 34 St,51,31,13,35,0.170455,25,0.2095
W 34 St,71,51,14,33,0.170455,25,0.1834
W 34 St,91,71,15,29,0.170455,25,0.1504
W 35 St,32,12,15,30,0.170455,25,0.1556
W 35 St,52,32,18,19,0.170455,25,0.0821
W 35 St,72,52,21,12,0.170455,25,0.0445
W 35 St,92,72,22,6,0.170455,25,0.0212
W 36 St,13,33,12,38,0.170455,25,0.2464
W 36 St,33,53,18,21,0.170455,25,0.0908
W 36 St,53,73,20,12,0.170455,25,0.0467
W 36 St,73,93,22,7,0.170455,25,0.0248
W 37 St,34,14,9,49,0.170455,25,0.4236
W 37 St,54,34,13,37,0.170455,25,0.2215
W 37 St,74,54,17,25,0.170455,25,0.1144
W 37 St,94,74,21,11,0.170455,25,0.0408
W 38 St,15,35,10,44,0.170455,25,0.3424
W 38 St,35,55,10,45,0.170455,25,0.3501
W 38 St,55,75,10,46,0.170455,25,0.3579
W 38 St,75,95,8,53,0.170455,25,0.5155
W 39 St,36,16,24,2,0.170455,25,0.0065
W 39 St,56,36,18,19,0.170455,25,0.0821
W 39 St,76,56,15,31,0.170455,25,0.1608
W 39 St,96,76,14,32,0.170455,25,0.1778
W 40 St,17,37,12,41,0.170455,25,0.2658
W 40 St,37,57,11,43,0.170455,25,0.3042
W 40 St,57,77,11,42,0.170455,25,0.2971
W 40 St,77,97,8,52,0.170455,25,0.5057
W 41 St,38,18,20,15,0.170455,25,0.0584
W 41 St,58,38,18,20,0.170455,25,0.0865
W 41 St,78,58,18,20,0.170455,25,0.0865
W 41 St,98,78,19,16,0.170455,25,0.0655
W 42 St,19,39,9,47,0.170455,25,0.4063
W 42 St,39,59,12,40,0.170455,25,0.2594
W 42 St,59,79,11,43,0.170455,25,0.3042
W 42 St,79,99,10,45,0.170455,25,0.3501
W 42 St,39,19,17,24,0.170455,25,0.1098
W 42 St,59,39,15,28,0.170455,25,0.1452
W 42 St,79,59,14,31,0.170455,25,0.1723
W 42 St,99,79,15,32,0.170455,25,0.166
